date,time,detected
۱۴۰۳/۶/۲۲, ۲۰:۰۵:۱۶,0
۱۴۰۳/۶/۲۲, ۲۰:۱۶:۱۲,0
۱۴۰۳/۶/۲۲, ۲۰:۱۶:۴۵,0
۱۴۰۳/۶/۲۲, ۲۰:۱۷:۱۰,0
۱۴۰۳/۶/۲۲, ۲۰:۱۷:۲۳,0
۱۴۰۳/۶/۲۲, ۲۰:۳۴:۱۴,0
۱۴۰۳/۶/۲۲, ۲۰:۳۵:۱۳,0
۱۴۰۳/۶/۲۲, ۲۰:۳۵:۵۸,0
۱۴۰۳/۶/۲۲, ۲۰:۴۲:۳۸,0
۱۴۰۳/۶/۲۲, ۲۰:۴۴:۱۸,0
۱۴۰۳/۶/۲۲, ۲۰:۴۴:۲۵,0
۱۴۰۳/۶/۲۲, ۲۰:۴۴:۳۳,1
۱۴۰۳/۶/۲۲, ۲۰:۴۴:۳۸,1
۱۴۰۳/۶/۲۲, ۲۰:۴۴:۳۸,1
۱۴۰۳/۶/۲۲, ۲۰:۴۴:۴۰,1
۱۴۰۳/۶/۲۲, ۲۰:۴۴:۵۲,1
۱۴۰۳/۶/۲۲, ۲۰:۴۴:۵۷,1
۱۴۰۳/۶/۲۲, ۲۰:۴۵:۰۳,1
۱۴۰۳/۶/۲۲, ۲۰:۴۵:۰۷,1
۱۴۰۳/۶/۲۲, ۲۰:۴۵:۱۲,1
۱۴۰۳/۶/۲۲, ۲۰:۴۵:۲۴,1
۱۴۰۳/۶/۲۲, ۲۰:۴۵:۲۹,1
۱۴۰۳/۶/۲۲, ۲۰:۴۵:۳۲,1
۱۴۰۳/۶/۲۲, ۲۰:۴۵:۳۶,1
۱۴۰۳/۶/۲۲, ۲۰:۴۵:۳۹,1
۱۴۰۳/۶/۲۲, ۲۰:۴۵:۴۵,1
۱۴۰۳/۶/۲۲, ۲۰:۴۵:۵۲,1
۱۴۰۳/۶/۲۲, ۲۰:۴۵:۵۵,1
۱۴۰۳/۶/۲۲, ۲۰:۵۸:۱۷,1
۱۴۰۳/۶/۲۲, ۲۱:۳۱:۱۴,1
۱۴۰۳/۶/۲۲, ۲۱:۳۲:۲۹,1
۱۴۰۳/۶/۲۲, ۲۱:۳۳:۰۰,1
۱۴۰۳/۶/۲۲, ۲۱:۳۹:۲۷,1
۱۴۰۳/۶/۲۲, ۲۱:۳۹:۵۹,0
